gender,race,age,Calendar Year,Attrition,hire_date
1,1,5,2013,1,1356879600
1,1,5,2014,1,1356879600
1,1,2,2016,0,1461423600
1,1,2,2017,0,1461423600
1,1,2,2018,0,1461423600
1,1,1,2013,1,1356879600
1,1,1,2014,1,1356879600
1,1,1,2015,1,1356879600
1,1,0,2013,0,1357398000
1,1,1,2014,0,1357398000
1,1,1,2015,0,1357398000
1,1,1,2016,0,1357398000
1,1,1,2016,0,1453129200
1,1,1,2017,0,1453129200
1,1,1,2018,0,1453129200
1,1,3,2018,0,1530370800
1,1,3,2019,0,1530370800
1,1,1,2019,0,1453129200
1,1,2,2019,0,1461423600
1,1,2,2020,0,1461423600
1,1,1,2020,0,1453129200
1,1,3,2020,0,1530370800
1,1,1,2020,0,1589641200
1,2,3,2013,0,1356879600
1,2,3,2014,0,1356879600
1,2,3,2015,0,1356879600
1,2,3,2016,0,1356879600
1,2,3,2017,0,1356879600
1,2,3,2018,0,1356879600
1,2,3,2019,0,1356879600
1,2,3,2020,0,1356879600
1,3,2,2013,0,1356879600
1,3,2,2014,0,1356879600
1,3,2,2015,0,1356879600
1,3,2,2016,0,1356879600
1,3,1,2018,0,1537110000
1,3,1,2019,0,1537110000
1,3,1,2020,0,1537110000
1,3,0,2020,0,1589641200
1,5,1,2017,0,1508598000
1,5,1,2018,0,1508598000
1,5,1,2020,0,1590850800
1,6,4,2016,0,1473519600
1,6,4,2017,0,1473519600
0,7,2,2013,0,1356879600
0,7,2,2014,0,1356879600
0,7,2,2015,0,1356879600
0,7,2,2016,0,1356879600
1,7,3,2013,0,1356879600
1,7,3,2014,0,1356879600
1,7,3,2015,0,1356879600
1,7,3,2016,0,1356879600
1,7,3,2017,0,1356879600
1,7,3,2013,0,1356879600
1,7,3,2014,0,1356879600
1,7,4,2015,0,1356879600
1,7,4,2016,0,1356879600
1,7,4,2017,0,1356879600
1,7,4,2018,0,1356879600
1,7,3,2013,1,1356879600
1,7,3,2014,1,1356879600
1,7,3,2015,1,1356879600
1,7,3,2013,1,1356879600
1,7,3,2014,1,1356879600
1,7,3,2015,1,1356879600
1,7,3,2016,1,1356879600
1,7,3,2017,1,1356879600
1,7,1,2013,0,1356879600
1,7,1,2014,0,1356879600
1,7,1,2015,0,1356879600
1,7,2,2016,0,1356879600
1,7,2,2017,0,1356879600
1,7,2,2018,0,1356879600
0,7,3,2013,0,1356879600
0,7,3,2014,0,1356879600
0,7,3,2015,0,1356879600
0,7,3,2016,0,1356879600
0,7,3,2017,0,1356879600
